Date,MeanR,StdR,Code
06/06/2020,1.142485409,0.015243858,AF
07/06/2020,1.134407742,0.014728983,AF
08/06/2020,1.105979715,0.014133056,AF
09/06/2020,1.071521556,0.013191671,AF
10/06/2020,1.062368861,0.012838348,AF
11/06/2020,1.06901778,0.012452088,AF
12/06/2020,1.061690332,0.012168212,AF
13/06/2020,1.017889246,0.011513023,AF
14/06/2020,1.010199198,0.011229654,AF
15/06/2020,1.030942446,0.011220738,AF
16/06/2020,1.030751795,0.011088588,AF
17/06/2020,1.006206584,0.010757112,AF
18/06/2020,0.990187898,0.010577022,AF
19/06/2020,0.931432431,0.010238706,AF
20/06/2020,0.934647033,0.010190837,AF
21/06/2020,0.905054001,0.010157939,AF
22/06/2020,0.891868677,0.010106702,AF
23/06/2020,0.884670616,0.010111333,AF
24/06/2020,0.844279232,0.010063352,AF
25/06/2020,0.841228653,0.010267867,AF
26/06/2020,0.820594332,0.010513673,AF
27/06/2020,0.798845239,0.010623441,AF
28/06/2020,0.787593234,0.010995285,AF
29/06/2020,0.753693641,0.011056922,AF
30/06/2020,0.716949443,0.011259043,AF
01/07/2020,0.71726542,0.011895527,AF
02/07/2020,0.684071807,0.01205253,AF
03/07/2020,0.716385357,0.013393167,AF
04/07/2020,0.723792451,0.014092505,AF
05/07/2020,0.73959714,0.014695705,AF
06/07/2020,0.761277503,0.015406878,AF
07/07/2020,0.771300588,0.015929563,AF
08/07/2020,0.814952809,0.016680795,AF
09/07/2020,0.798268411,0.016763702,AF
10/07/2020,0.828253017,0.016982853,AF
11/07/2020,0.856603669,0.017533318,AF
12/07/2020,0.817692802,0.016703001,AF
13/07/2020,0.776378194,0.016267352,AF
14/07/2020,0.804731186,0.016577962,AF
15/07/2020,0.817448617,0.017205641,AF
16/07/2020,0.815833199,0.017369349,AF
17/07/2020,0.802833626,0.017331875,AF
18/07/2020,0.750838332,0.016901574,AF
19/07/2020,0.749290483,0.017078984,AF
20/07/2020,0.724198495,0.017225225,AF
21/07/2020,0.725099013,0.017805051,AF
22/07/2020,0.728331271,0.018484194,AF
23/07/2020,0.724725925,0.019032946,AF
24/07/2020,0.673927456,0.018671544,AF
25/07/2020,0.664215055,0.019150935,AF
26/07/2020,0.720009453,0.02080165,AF
27/07/2020,0.807411017,0.023242302,AF
28/07/2020,0.75922106,0.022687834,AF
29/07/2020,0.716177544,0.022168195,AF
30/07/2020,0.745983971,0.022802022,AF
31/07/2020,0.767852437,0.023661532,AF
01/08/2020,0.780296074,0.02448022,AF
02/08/2020,0.711616894,0.023416843,AF
03/08/2020,0.73534577,0.024042226,AF
04/08/2020,0.737222276,0.02472146,AF
05/08/2020,0.729351045,0.024979979,AF
06/08/2020,0.671472507,0.024156365,AF
07/08/2020,0.755721046,0.026853403,AF
24/03/2020,1.823135349,0.174564175,AL
25/03/2020,1.90283434,0.169483002,AL
26/03/2020,1.878922203,0.158371707,AL
27/03/2020,1.667202342,0.137707156,AL
28/03/2020,1.537053285,0.127397339,AL
29/03/2020,1.494574029,0.118126873,AL
30/03/2020,1.393262788,0.109349702,AL
31/03/2020,1.417905023,0.10620082,AL
01/04/2020,1.413240567,0.102913736,AL
02/04/2020,1.408580691,0.098317997,AL
03/04/2020,1.448779963,0.096191186,AL
04/04/2020,1.486897526,0.09551339,AL
05/04/2020,1.459199711,0.090330059,AL
06/04/2020,1.359404874,0.083730003,AL
07/04/2020,1.21127771,0.07729757,AL
08/04/2020,1.128598368,0.072496173,AL
09/04/2020,1.01501403,0.067249375,AL
10/04/2020,0.982244297,0.065609738,AL
11/04/2020,1.009850167,0.067145694,AL
12/04/2020,1.005199489,0.06613657,AL
13/04/2020,1.049547832,0.06707236,AL
14/04/2020,0.99676203,0.06592326,AL
15/04/2020,1.007141014,0.066538279,AL
16/04/2020,1.033690565,0.06692827,AL
17/04/2020,1.007100374,0.065362443,AL
18/04/2020,0.919990377,0.063028407,AL
19/04/2020,0.86728393,0.060933013,AL
20/04/2020,0.909901733,0.062936055,AL
21/04/2020,1.014802514,0.067273824,AL
22/04/2020,1.060892321,0.069500769,AL
23/04/2020,1.147348179,0.071733126,AL
24/04/2020,1.163537329,0.072143782,AL
25/04/2020,1.207152483,0.072266128,AL
26/04/2020,1.174238156,0.070723518,AL
27/04/2020,1.093445675,0.066909831,AL
28/04/2020,1.091314596,0.065467514,AL
29/04/2020,1.060984902,0.06448578,AL
30/04/2020,0.983528545,0.06151067,AL
01/05/2020,0.933554969,0.060674513,AL
02/05/2020,0.931872266,0.059973126,AL
03/05/2020,0.913887591,0.060473014,AL
04/05/2020,0.872664624,0.058888977,AL
05/05/2020,0.857822254,0.059546795,AL
06/05/2020,0.825577385,0.058137471,AL
07/05/2020,0.769678627,0.057574486,AL
08/05/2020,0.769306052,0.058923935,AL
09/05/2020,0.672669009,0.056121817,AL
10/05/2020,0.699877931,0.058788163,AL
11/05/2020,0.710381388,0.061503429,AL
12/05/2020,0.697885034,0.062010719,AL
13/05/2020,0.669572688,0.062529728,AL
14/05/2020,0.779532599,0.069918856,AL
15/05/2020,0.87934265,0.075850763,AL
16/05/2020,0.977581427,0.081652349,AL
17/05/2020,1.040889827,0.084862205,AL
18/05/2020,0.997687084,0.083276362,AL
19/05/2020,0.884675251,0.079313695,AL
20/05/2020,0.912792996,0.080285812,AL
21/05/2020,0.889908181,0.078739211,AL
22/05/2020,0.934830712,0.082477252,AL
23/05/2020,0.96441555,0.082474389,AL
24/05/2020,0.950699254,0.083094558,AL
25/05/2020,0.974219448,0.083935251,AL
26/05/2020,1.13685984,0.091972599,AL
27/05/2020,1.248139764,0.094786689,AL
28/05/2020,1.265765696,0.095372206,AL
29/05/2020,1.249250972,0.092546945,AL
30/05/2020,1.233337051,0.090022383,AL
31/05/2020,1.195426047,0.08622427,AL
01/06/2020,1.173842142,0.084114261,AL
02/06/2020,1.254111814,0.086089681,AL
03/06/2020,1.237634478,0.082604291,AL
04/06/2020,1.231856644,0.081854636,AL
05/06/2020,1.19943152,0.078515938,AL
06/06/2020,1.216176815,0.077880795,AL
07/06/2020,1.199152457,0.076498588,AL
08/06/2020,1.208817086,0.075153916,AL
09/06/2020,1.219767891,0.074653184,AL
10/06/2020,1.266833369,0.075287245,AL
11/06/2020,1.293144717,0.07379455,AL
12/06/2020,1.267644367,0.071487969,AL
13/06/2020,1.304124036,0.071385283,AL
14/06/2020,1.396067207,0.072040691,AL
15/06/2020,1.533365902,0.074732568,AL
16/06/2020,1.617340475,0.074600731,AL
17/06/2020,1.562473902,0.070594821,AL
18/06/2020,1.562334884,0.068185453,AL
19/06/2020,1.511723851,0.063738352,AL
20/06/2020,1.459674801,0.060779945,AL
21/06/2020,1.465058082,0.059281567,AL
22/06/2020,1.38841977,0.054413893,AL
23/06/2020,1.324727422,0.052101949,AL
24/06/2020,1.291138572,0.049090365,AL
25/06/2020,1.280040325,0.048481543,AL
26/06/2020,1.290674087,0.046890905,AL
27/06/2020,1.250939529,0.045125003,AL
28/06/2020,1.217756551,0.042925247,AL
29/06/2020,1.165213415,0.040835121,AL
30/06/2020,1.111957319,0.039539517,AL
01/07/2020,1.079594775,0.037946708,AL
02/07/2020,1.083226576,0.037135079,AL
03/07/2020,1.117655132,0.037952684,AL
04/07/2020,1.11800238,0.037262334,AL
05/07/2020,1.10094867,0.037178152,AL
06/07/2020,1.125686253,0.036641103,AL
07/07/2020,1.1302669,0.036270553,AL
08/07/2020,1.108103802,0.035488875,AL
09/07/2020,1.090772313,0.034973414,AL
10/07/2020,1.086177918,0.034605186,AL
11/07/2020,1.104890993,0.035039874,AL
12/07/2020,1.098200267,0.034152559,AL
13/07/2020,1.135547622,0.034594053,AL
14/07/2020,1.140569788,0.034428603,AL
15/07/2020,1.154101712,0.034737357,AL
16/07/2020,1.142660235,0.033784723,AL
17/07/2020,1.081330556,0.032107525,AL
18/07/2020,1.093483428,0.031718134,AL
19/07/2020,1.083921816,0.031920974,AL
20/07/2020,1.077189794,0.031174287,AL
21/07/2020,1.102391133,0.031432747,AL
22/07/2020,1.08584876,0.030773399,AL
23/07/2020,1.092166313,0.030909115,AL
24/07/2020,1.087400863,0.030607006,AL
25/07/2020,1.049904059,0.029768238,AL
26/07/2020,1.073206976,0.03000551,AL
27/07/2020,1.062016801,0.029598291,AL
28/07/2020,1.067669858,0.0294012,AL
29/07/2020,1.074154507,0.029722827,AL
30/07/2020,1.056507299,0.029069281,AL
31/07/2020,1.063590562,0.028771025,AL
01/08/2020,1.066885487,0.028691464,AL
02/08/2020,1.086061482,0.028965174,AL
03/08/2020,1.088172783,0.029058756,AL
04/08/2020,1.080173724,0.0282505,AL
05/08/2020,1.116818899,0.028489134,AL
06/08/2020,1.111907006,0.028363409,AL
07/08/2020,1.112598122,0.028464181,AL
26/03/2020,1.745009738,0.112513025,AM
27/03/2020,1.729143746,0.103228294,AM
28/03/2020,1.868334399,0.103579641,AM
29/03/2020,1.689727355,0.091581972,AM
30/03/2020,1.622960249,0.084656806,AM
31/03/2020,1.543535099,0.078184063,AM
01/04/2020,1.510493049,0.074395552,AM
02/04/2020,1.562555664,0.07191878,AM
03/04/2020,1.57062599,0.068726837,AM
04/04/2020,1.459454029,0.062844007,AM
05/04/2020,1.385239598,0.059871576,AM
06/04/2020,1.231081402,0.053463387,AM
07/04/2020,1.182081547,0.050377688,AM
08/04/2020,1.163695719,0.049262879,AM
09/04/2020,1.159958812,0.04796692,AM
10/04/2020,1.088827762,0.045791192,AM
11/04/2020,0.984782057,0.042894762,AM
12/04/2020,1.02939092,0.043253505,AM
13/04/2020,0.972949598,0.042071771,AM
14/04/2020,0.938042882,0.040851347,AM
15/04/2020,0.955228866,0.041642168,AM
16/04/2020,0.887361876,0.039412503,AM
17/04/2020,0.846336929,0.039165353,AM
18/04/2020,0.891117588,0.040760906,AM
19/04/2020,0.896667592,0.041930085,AM
20/04/2020,0.988967028,0.043763135,AM
21/04/2020,1.083406053,0.0463862,AM
22/04/2020,1.166780302,0.047683899,AM
23/04/2020,1.162199074,0.047508851,AM
24/04/2020,1.238115802,0.048686001,AM
25/04/2020,1.287492782,0.048257891,AM
26/04/2020,1.272573967,0.047622365,AM
27/04/2020,1.273125353,0.046973767,AM
28/04/2020,1.264542741,0.045941876,AM
29/04/2020,1.239723143,0.043784563,AM
30/04/2020,1.311781972,0.044578161,AM
01/05/2020,1.307326617,0.043662382,AM
02/05/2020,1.34434207,0.043602255,AM
03/05/2020,1.360767124,0.042800031,AM
04/05/2020,1.369567307,0.042125272,AM
05/05/2020,1.344517436,0.041185112,AM
06/05/2020,1.361874452,0.040274244,AM
07/05/2020,1.335704675,0.039492197,AM
